date,title,sentiment_label,sentiment_score
2009-04-29,Going Against the Herd,Positive,1
2009-06-01,super-trades - Two 52 week highs and others about to join them,Positive,1
2009-07-14,Skystar Bio-Pharmaceutical Announces Expansion Plans and Growth Expectations,Negative,-1
2009-07-27,"Market Pulse Announces Its Hot Stock Alerts for Monday, July 27, 2009: CSEV, ACAD, CHINA, BRCM",Positive,1
2009-07-30,The Gold/Silver Ratio From 1300 to 1900...And Now,Positive,1
2009-08-04,"A Simulation of China's 2,$$$,$$$,$$$,$$$ Diversification/Writedown",Positive,1
2009-08-06,Fairborne Energy Ltd. Announces 2009 Second Quarter Financial and Operating Results,Negative,-1
2009-08-07,WesternZagros Announces 2009 Second Quarter Results,Positive,1
2009-08-08,Rosen Law Firm Announces Class Action Lawsuit Against Repros Therapeutics Inc. -- RPRX,Neutral,0
2009-08-09,"Optichron(R) Second-Generation Digital Pre-Distortion Processor Provides Wide-Band, Class 1 Performa",Positive,1
2009-08-10,ERHC Energy Inc. Reports Third Quarter 2009 Financial Results,Positive,1
2009-08-11,Essential Energy Services Trust Announces Second Quarter 2009 Results and Quarterly Distribution,Positive,1
2009-08-12,"Birchcliff Energy Ltd. Announces Second Quarter Financial Results, and Continued Success With Its Mo",Negative,-1
2009-08-13,Fully Automatic Defrag Curtails Unnecessary Hardware Expenditures,Neutral,0
2009-08-16,Software News: It's a Cloud World,Positive,1
2009-08-17,Expect a Selloff for Brocade,Positive,1
2009-08-18,Why I think SKBI will do $3 EPS in 2009 and $3+ in 2010,Positive,1
2009-08-19,"Hedging Using Residential Real Estate Exchange Traded Securities (DMM, UMM)",Positive,1
2009-08-23,The Problems with Nitrous Oxide: CARS Exhausts $3 Billion in One Month and Everyone is Smiling :),Positive,1
2009-08-25,2009 Math SAT Scores Are In: Gender Gap Persists,Neutral,0
2009-08-26,Baltic Dry Index Update,Positive,1
2009-08-27,"Beer, Competition, and Emerging Markets",Positive,1
2009-08-28,"ECRI: Double-Dip Recession ""Out of the Question""",Positive,1
2009-08-29,Coupon Queen: $279 of Groceries For Only 39¢,Positive,1
2009-08-30,Capitalism: A Love Story,Positive,1
2009-08-31,"Bloomberg: Shipping Rates Seen Falling 50% on China, Fleet Size",Neutral,0
2009-09-01,"Paul Tudor Jones, Clarium Capital Not Buying Green Shoot Theory",Positive,1
2009-09-02,American International Group (AIG) poised to drop,Neutral,0
2009-09-03,"Fortune: China's Amazing New Bullet Train, and America's Amazing Railroad Oligarchs",Positive,1
2009-09-04,[Long] Weekend Reading Part 1,Positive,1
2009-09-05,Markets In Everything: Portable Toilet for Women,Positive,1
2009-09-06,And So The Next Crisis Begins: FHA Loans Starting to Default in Increasing Numbers - 2% Reserve Thre,Neutral,0
2009-09-07,Citigroup 2006: America - A Modern Day Plutonomy,Positive,1
2009-09-08,Some Interesting Reads,Positive,1
2009-09-09,"WSJ: Vanguard's John Bogle, Warren Buffet Speak Out Against Short Term Nature of Markets",Positive,1
2009-09-10,Traditional Universities May Be Irrelevant by 2020,Neutral,0
2009-09-11,"NYT: Cautiously, Small Investors Edge Back into Stocks",Negative,-1
2009-09-12,Samuel Johnson: Entrepreneurial Genius,Positive,1
2009-09-13,"Bookkeeping: Weekly Changes to Fund Positions Year 3, Week 6",Positive,1
2009-09-14,Patrick Swayze Loses His Battle With Cancer,Positive,1
2009-09-15,Bookkeeping: Closing GeoEye (GEOY),Positive,1
2009-09-16,"Today's Morning Top Gainers (SPEX,KERX,ACAS,AEZS,DARA)",Negative,-1
2009-09-17,American Capital ACAS) Receives $182M from Sale of Axygen.,Positive,1
2009-09-18,"Fast Money Crew Bearish On AA, RIG And CAT",Neutral,0
2009-09-21,"Fast Money Crew Recommended Buying FCS And PLCE, Selling AA And X",Positive,1
2009-09-23,"Jim Cramer likes (TD,ALTH,AA,TLAB,ALSK,C)",Positive,1
2009-10-01,"Today’s Earnings Preview (STZ,CAN,BLUD,GPN,ZLC)",Positive,1
2009-10-02,"Stocks to Watch (TELK,QLTI,BLUD,FSLR,ACN)",Positive,1
2009-10-04,"Bookkeeping: Weekly Changes to Fund Positions Year 3, Week 9",Positive,1
2009-10-05,Portfolio Positions with Yellow Caution Tag Attached,Positive,1
2009-10-06,"Small Caps Flying High (ACAD, TAMB, UCBH, ICTG)",Positive,1
2009-10-07,An Inverse Head and Shoulders Pattern ?,Positive,1
2009-10-08,Alcoa (AA) Defense to Supply Aluminum Armor Kits to AM General,Positive,1
2009-10-09,"Biggest Losers (SPPI, ACOR, LEAP, LXRX, CLRT)",Positive,1
2009-10-12,"Stocks To Watch (NSM, ABX, PER, HOG)",Positive,1
2009-10-13,"Fast Money Crew Picks AA, CSCO, PHM",Positive,1
2009-10-22,Active Power (ACPW) Appoints Dietmar Papenfort as Vice President Sales,Positive,1
2009-10-23,"Top 5 Stocks with Best ROE and PEG (SB, ABR, CEL)",Positive,1
2009-10-27,"Acorda Therapeutics (ACOR) To Announce 2009 Q3 Financial Results on November 3,2009",Positive,1
2009-10-28,"Morgan Keegan Initiates Coverage On (UDR, AVB, IRC, HME, ESS, EQR, CLP, ACC, FRT, CPT)",Positive,1
2009-10-29,"ETFs For Thursday October 29, 2009",Positive,1
2009-10-30,"Fast Money Gang Picks For Monday (AA, WFC, RIG, XOM)",Positive,1
2009-11-02,"Healthcare sector boom, predicts, Oracle hedge fund chief (THC, CEPH, ACOR)",Positive,1
2009-11-03,"New 52-Week Highs (GLD, ADM, SYKE, ABC, CTSH)",Positive,1
2009-11-04,"The Top ETF Gainers Today (AGQ, GDX, GLD, EDC, EFO, IYT)",Positive,1
2009-11-05,Blackstone Group And Glimcher Realty Trust Form Joint Venture,Positive,1
2009-11-06,Arch Capital Adds $1 Billion To Repurchase Plan,Positive,1
2009-11-09,"Top 5 Stocks that Touched Their 52-week Highs on November 6 (ABVT, ABX, ACFN, ACV, ADM-PA)",Positive,1
2009-11-10,Adobe to Cut Jobs to Cope with Sales Slump (ADBE),Neutral,0
2009-11-11,"China Continues Expanding ""Infrastructure for Resources"" Policy with Agreements in Malaysia",Negative,-1
2009-11-13,Agilent Technologies (A) results beats forecasts,Positive,1
2009-11-22,Baltic Dry Index - A Review,Positive,1
2009-11-23,Guy Adami Is Bearish On Alcoa (AA),Positive,1
2009-11-24,"Cramer Is Bullish On MED, WTW, AA, WFT",Positive,1
2009-11-25,"Benzinga’s Top Upgrades (ABCO, IWA, EV, VPRT, HPT)",Positive,1
2009-11-27,"Benzinga’s Top Upgrades & Downgrades (QLTI, PUK, TIF, GIB, ABB, EUBK, FSNM)",Neutral,0
2009-11-28,Don't Build Up This Weak ETF (PKB),Neutral,0
2009-11-30,"Benzinga’s Top Pre- Market Losers (ACAS, ERIC, VOD, BIDU, QQQQ, GOLD)",Positive,1
2009-12-02,Anchor Bancorp (ABCW) Gets Help From Badger Holdings,Positive,1
2009-12-03,AllianceBernstein Makes a Comeback to Capital Market Business,Positive,1
2009-12-04,Volume Talks: Thursday's Hot Stocks on Heavy Volume & Detailed Vertical Put Spread Option Trade,Positive,1
2009-12-07,Legal Issues at ABX Cortez Hills Project,Positive,1
2009-12-08,"Benzinga’s Biggest Losers (PIP, ADAT, KR, SVU, AIB)",Positive,1
2009-12-09,"Benzinga's Top ETF Gainers (SCO, EEN, XME, UYM)",Negative,-1
2009-12-10,"Top 5 Mid-Cap NYSE Stocks with Highest Sales (ttm) (ABC, VLO, AIG, SVU, BG)",Positive,1
2009-12-11,Alcoa Inc. (AA) Close To A New Breakout Area,Positive,1
2009-12-12,Stocks Flying Under the Radar (12/12/09),Positive,1
2009-12-14,"Stock Market News for December 14, 2009 - Market News",Positive,1
2009-12-15,Tiger's Follies to Give Other Athletes A Hard Time Getting Pitch Deals,Positive,1
2009-12-16,"New 52-Week High Stocks (AMD, AA, CBS, RCL, CENX, MRVL)",Positive,1
2009-12-17,Here Are Some Setups To The Long Side,Positive,1
2009-12-18,"Top 5 Mid-Cap Stocks with Highest Profit Margins (AWC, LINE, MFA, CIM, AB)",Negative,-1
2009-12-19,"Tiger Woods is set for another ""downscale""",Negative,-1
2009-12-21,"Holiday Party May Be Starting As Alcoa Inc (NYSE: AA), Amazon.com, Inc. (NasdaqGS: AMZN) Jump",Positive,1
2009-12-22,Review On A’s Deal With VARI Delayed Again,Positive,1
2009-12-23,"Benzinga’s Top Gainers (CGEN, THC, FSII, ACHN, VG)",Positive,1
2009-12-24,"Stock Market News for December 24, 2009 - Market News",Positive,1
2009-12-28,"XLB, XLK, XLY Sector ETFs Make 52 Week Highs",Positive,1
2009-12-29,"Bank of America Ratings Unchanged Post Aluminum Inventories Data (AA, CENX)",Neutral,0
2009-12-30,"US Markets Shed Gains For The Second Consecutive Day (AMZN, CBS, NEM, ABX)",Neutral,0
2009-12-31,Tiger Woods Only Had “Fat Lip”,Positive,1
2010-01-03,"Cramer's 2010 Tech Picks (CSCO, VMW, ACN)",Positive,1
2010-01-04,"Russian Aluminum Giant Rusal Eyeing IPO (RTO, AA)",Positive,1
2010-01-05,Advance Auto Parts – A Turnaround Candidate (AAP),Negative,-1
2010-01-06,"Fast Money Picks For January 7th (AA, GOOG, AKAM)",Positive,1
2010-01-07,"Company News for January 07, 2010 - Corporate Summary",Positive,1
2010-01-08,Alcoa Earnings Preview,Positive,1
2010-01-11,"Large Cap Machinery Jumps, But Small Cap Machinery Offers the Real Value",Positive,1
2010-01-12,"This Week's Most-Purchased Stocks to Date - AA, CYCC, F, C",Positive,1
2010-01-13,"Stock Market News for January 13, 2010 - Market News",Positive,1
2010-01-14,"Matrix Asset Advisors Is Bullish On The Overall Market In 2010 (DELL, BAC, CVX, PG, WMT, JPM, AA)",Negative,-1
2010-01-15,This Week's Biggest Losers This Year's Biggest Winners?,Positive,1
2010-01-16,"Jim Cramer Comments On CMS, DTE, BWP, ACAS",Positive,1
2010-01-17,Earnings Season Picking Up Momentum - Earnings Trends,Positive,1
2010-01-19,Make Or Break...Technicals And Earnings On Tap Showing This Week Means Everything,Positive,1
2010-01-20,Priced for Perfection: When Good Stocks Turn Bad,Positive,1
2010-01-21,Proposed Financial Regulations Send Stocks Falling,Neutral,0
2010-01-22,"Market Round-up (GS, AMR, LUV, FCX, AA, POT, BNS, MS, CVC, SNI)",Positive,1
2010-01-24,Where's the Brillo ?,Positive,1
2010-01-25,"Auto Parts Retail Industry Update (ORLY, GPC, AZO, AAP)",Positive,1
2010-01-26,AmerisourceBergen (ABC) Raises Profit Forecasts,Negative,-1
2010-01-27,"Metals Stocks Collapse Lower, Will There Be A Bounce? (NYSE:X), (NYSE:AA), (Nasdaq:CENX)",Positive,1
2010-01-28,"Stock Market News for January 28, 2010 - Market News",Positive,1
2010-01-29,"Stocks That Created New 52-Week Highs (ACXM, BBNK, LION, FFBC, ISSI)",Negative,-1
2010-02-01,Alcoa Inc. (AA) And Other Basic Material Stocks Regain Ground,Negative,-1
2010-02-02,"Metals & Mining Industry Update (CLF, AA, FCX, AKS, PCU)",Positive,1
2010-02-03,"Benzinga’s Volume Movers (APKT, AUXL, NETL, MYGN, ACOR)",Positive,1
2010-02-04,"Dow Breaches 10,000 (DJI, BAC, AA, JPM)",Neutral,0
2010-02-05,"Stock Market News for February 5, 2010 - Market News",Positive,1
2010-02-08,Aaron’s (AAN) Is Expected To Do Well: Barron’s,Negative,-1
2010-02-09,Tuesday's Hottest Small Caps Follow Upgrade Lead of Large Cap,Positive,1
2010-02-10,"Bernanke Comments Spook Market (DIA, UUP, AA, FCX)",Positive,1
2010-02-11,"Fast Money Picks For February 12th (MT, NCR, CYBX, AA)",Positive,1
2010-02-12,Agilent Technologies (A) Reports 23% Profit Rise,Positive,1
2010-02-15,"Adobe Brings AIR For Android And Launching Flash 10.1 Sooner (ADBE, AAPL, RIMM)",Positive,1
2010-02-16,"Stock Market News for February 16, 2010 - Market News",Positive,1
2010-02-17,The Google Buzz Guide for the Enterprise (with Buzz Matrix),Positive,1
2010-02-18,"Benzinga’s Top Downgrades (AAWW, ZNT, XNPT, DEPO, HST)",Positive,1
2010-02-19,Alcoa CEO Earns $11.2 Million In 2009 Compensation (AA),Positive,1
2010-02-22,"Benzinga's Sector Leaders (AIG, TXT, PACR)",Positive,1
2010-02-23,Acorda’s Q4 Loss In-Line With Expectations; Plans To Launch MS Drug In March (ACOR),Neutral,0
2010-02-24,"Stock Market News for February 24, 2010 - Market News",Positive,1
2010-02-25,"Stock Market News for February 25, 2010 - Market News",Positive,1
