date,title,sentiment_label,sentiment_score
2009-04-29,Going Against the Herd,Positive,1
2009-06-01,super-trades - Two 52 week highs and others about to join them,Positive,1
2009-07-14,Skystar Bio-Pharmaceutical Announces Expansion Plans and Growth Expectations,Negative,-1
2009-07-30,The Gold/Silver Ratio From 1300 to 1900...And Now,Positive,1
2009-08-04,"A Simulation of China's 2,$$$,$$$,$$$,$$$ Diversification/Writedown",Positive,1
2009-08-06,Fairborne Energy Ltd. Announces 2009 Second Quarter Financial and Operating Results,Negative,-1
2009-08-07,WesternZagros Announces 2009 Second Quarter Results,Positive,1
2009-08-08,Rosen Law Firm Announces Class Action Lawsuit Against Repros Therapeutics Inc. -- RPRX,Neutral,0
2009-08-09,"Optichron(R) Second-Generation Digital Pre-Distortion Processor Provides Wide-Band, Class 1 Performa",Positive,1
2009-08-10,ERHC Energy Inc. Reports Third Quarter 2009 Financial Results,Positive,1
2009-08-11,Essential Energy Services Trust Announces Second Quarter 2009 Results and Quarterly Distribution,Positive,1
2009-08-12,"Birchcliff Energy Ltd. Announces Second Quarter Financial Results, and Continued Success With Its Mo",Negative,-1
2009-08-13,Fully Automatic Defrag Curtails Unnecessary Hardware Expenditures,Neutral,0
2009-08-16,Software News: It's a Cloud World,Positive,1
2009-08-17,Expect a Selloff for Brocade,Positive,1
2009-08-18,Why I think SKBI will do $3 EPS in 2009 and $3+ in 2010,Positive,1
2009-08-19,"Hedging Using Residential Real Estate Exchange Traded Securities (DMM, UMM)",Positive,1
2009-08-23,The Problems with Nitrous Oxide: CARS Exhausts $3 Billion in One Month and Everyone is Smiling :),Positive,1
2009-08-25,2009 Math SAT Scores Are In: Gender Gap Persists,Neutral,0
2009-08-26,Baltic Dry Index Update,Positive,1
2009-08-27,"Beer, Competition, and Emerging Markets",Positive,1
2009-08-28,"ECRI: Double-Dip Recession ""Out of the Question""",Positive,1
2009-08-29,Coupon Queen: $279 of Groceries For Only 39¢,Positive,1
2009-08-30,Capitalism: A Love Story,Positive,1
2009-08-31,"Bloomberg: Shipping Rates Seen Falling 50% on China, Fleet Size",Neutral,0
2009-09-01,"Paul Tudor Jones, Clarium Capital Not Buying Green Shoot Theory",Positive,1
2009-09-02,American International Group (AIG) poised to drop,Neutral,0
2009-09-03,"Fortune: China's Amazing New Bullet Train, and America's Amazing Railroad Oligarchs",Positive,1
2009-09-04,[Long] Weekend Reading Part 1,Positive,1
2009-09-05,Markets In Everything: Portable Toilet for Women,Positive,1
2009-09-06,And So The Next Crisis Begins: FHA Loans Starting to Default in Increasing Numbers - 2% Reserve Thre,Neutral,0
2009-09-07,Citigroup 2006: America - A Modern Day Plutonomy,Positive,1
2009-09-08,Some Interesting Reads,Positive,1
2009-09-09,"WSJ: Vanguard's John Bogle, Warren Buffet Speak Out Against Short Term Nature of Markets",Positive,1
2009-09-10,Traditional Universities May Be Irrelevant by 2020,Neutral,0
2009-09-11,"NYT: Cautiously, Small Investors Edge Back into Stocks",Negative,-1
2009-09-12,Samuel Johnson: Entrepreneurial Genius,Positive,1
2009-09-13,"Bookkeeping: Weekly Changes to Fund Positions Year 3, Week 6",Positive,1
2009-09-14,Patrick Swayze Loses His Battle With Cancer,Positive,1
2009-09-15,Bookkeeping: Closing GeoEye (GEOY),Positive,1
2009-10-05,Portfolio Positions with Yellow Caution Tag Attached,Positive,1
2009-11-05,Blackstone Group And Glimcher Realty Trust Form Joint Venture,Positive,1
2009-11-13,Agilent Technologies (A) results beats forecasts,Positive,1
2009-11-22,Baltic Dry Index - A Review,Positive,1
2009-12-22,Review On A’s Deal With VARI Delayed Again,Positive,1
2010-02-12,Agilent Technologies (A) Reports 23% Profit Rise,Positive,1
2010-02-17,The Google Buzz Guide for the Enterprise (with Buzz Matrix),Positive,1
2010-03-10,BRKR Buys VARI’s Assets; Deal To Be Accretive In 2010-11,Negative,-1
2010-03-11,The Health Care Reform Bill: Welcome To The Biggest Tax Increase In U.S. History,Negative,-1
2010-03-23,IBD Takedown of the Health Insurance Law,Neutral,0
2010-03-26,"Next Week: Jobs, Jobs, Jobs - Earnings Preview",Positive,1
2010-04-29,"Investment Analysis: The Penn Miller Holding Corporation (PMIC) – A Classic Low-Risk, High-Return Sp",Negative,-1
2010-05-04,Vidaroo Reports Creating Video Imagery and Background for “Idol Gives Back” Performance of Black Eye,Positive,1
2010-05-11,"Vidaroo Corporation (Formerly Gen2Media Corporation) and NARM, the Music Business Association, Partn",Positive,1
2010-05-17,Agilent Technologies (A) Down 2% Despite Strong Results,Neutral,0
2010-05-18,Agilent Technologies Inc. (A) All Set To Test Support Level at 200 Day MA,Positive,1
2010-05-19,"Mad Money Lightning Round OT: Cramer Gives His Opinion On AMKR, TER, A, CML, CSCO, MGM, WYNN",Positive,1
2010-05-20,Vidaroo Corporation is Back in Black According to Live Design Magazine,Positive,1
2010-05-24,Fitch Revises Agilent Outlook,Positive,1
2010-06-01,JP Morgan (JPM) Resumes Coverage Of Agilent Technologies Inc. (A) With Neutral Rating,Positive,1
2010-06-08,Vidaroo Corporation Announces the Vidaroo Affiliate Sales Program and Signs Its Initial Group of Aff,Positive,1
2010-06-30,Dendreon Plunging After Hours (DNDN),Neutral,0
2010-08-16,Agilent Technologies Reports Third Quarter Results (A),Positive,1
2010-08-17,Cautious on Agilent After 3Q Results - Analyst Blog,Positive,1
2010-08-25,Agilent Technologies Favored At Jefferies (A),Positive,1
2010-08-26,JDS Uniphase Misses by a Penny - Analyst Blog,Neutral,0
2010-09-06,Kabul Bank: When They Don’t Fear the Regulators Enough to Even Hide the Abuses,Positive,1
2010-09-13,The Big Bang Leads to the Big Whimper (aka: Basel III),Positive,1
2010-09-20,Financial Regulatory Success under Bush and Obama?,Positive,1
2010-10-06,Deutsche Bank Initiates Buy Rating on Agilent Technologies (A),Positive,1
2010-10-07,Deutsche Bank Opens Agilent With Buy,Positive,1
2010-10-12,Upside Purchased on Agilent Technologies (A),Positive,1
2010-10-28,"Stifel Nicolaus Upgrades (A, GG)",Positive,1
2010-11-08,Agilent Technologies and Harvard's Wyss Institute Announce Collaboration,Positive,1
2010-11-10,Seven steps to Social Security cuts prophecy,Positive,1
2010-11-12,Options Brief: Agilent Technologies (A),Positive,1
2010-11-15,"Agilent Has Solid Q4, Ups Guidance - Analyst Blog",Negative,-1
2010-11-16,"Zacks Analyst Blog Highlights: Wendy's/Arby's Group Inc., Agilent Technologies', Ametek Inc., Cognex",Positive,1
2010-11-17,The Celtic Chimera,Positive,1
2010-11-29,Agilent Technologies Awarded $1.8 Million Contract by U.S. Navy,Negative,-1
2010-12-15,J.P. Morgan Upgrades Agilent Tech To OW; PT Goes From $40 To $46,Negative,-1
2010-12-17,JDS Uniphase Remains Neutral - Analyst Blog,Positive,1
2010-12-28,Zacks #1 Rank Additions for Tuesday - Tale of the Tape,Positive,1
2011-01-04,"Research in Motion: Targets, Estimates",Positive,1
2011-01-10,KNIGHTSBRIDGE (VLCCF) - Profit Tracks,Positive,1
2011-01-11,"Alcoa: New Targets, Estimates",Positive,1
2011-01-12,"Short Interest Slides on Healthcare Names (DNEX, BEC, PLL)",Positive,1
2011-01-13,Agilent Technologies Appoints Dr. Tachi Yamada to Board,Positive,1
2011-01-19,Agilent Technologies to Acquire Assets of A2 Technologies,Positive,1
2011-01-25,Waters Outperforms - Analyst Blog,Positive,1
2011-02-11,J.P. Morgan Raises Agilent Technologies PT To $50 (A),Negative,-1
2011-02-13,"Earnings Scheduled For February 14 (MAS, MAR, DBD, A, MGM, SKH, CW, VAL, FTI, AEIS, ACGL, CNGL, ASF)",Positive,1
2011-02-14,Agilent Technologies Reports First Quarter 2011 Results: EPS of $0.54,Positive,1
2011-02-15,Jefferies Raises Agilent Technologies PT To $55 (A),Negative,-1
2011-02-22,Should Apple Become a Game Developer?,Positive,1
2011-02-28,Oak Street Wealth Management's Market Commentary 2-28-11,Positive,1
2011-03-01,Agilent Technologies Acquires BIOCIUS Life Sciences,Positive,1
2011-03-02,J.P. Morgan Expects Agilent Analyst Meeting To Be A Positive Catalyst Owing To Updates On New Produc,Negative,-1
2011-03-04,"Benzinga's Top Performing Industries, March 4th (NFLX, AXU, SCOK, MVG, HLS, DVA, A, WAT)",Positive,1
2011-03-10,Agilent Technologies' Latest GoldenGate RFIC Simulation Software Raises the Bar on Performance and U,Positive,1
2011-03-11,Agilent Technologies' Operations in Japan Remain Unaffected by Earthquake (A),Positive,1
2011-03-21,"Mad Money Lightning Round: Cramer Advises Investors To Buy Starbucks (SBUX, SLB, HMC, A, LLNW, MCP, ",Positive,1
2011-03-24,Agilent Technologies Expands Life Sciences and Chemical Analysis Center of Excellence in India,Negative,-1
2011-04-24,Greece will not be 'allowed' to default until policy shores up the Irish bond market,Positive,1
2011-04-26,Jefferies Raises PT On Agilent Technologynies To $56,Negative,-1
2011-04-29,"China MediaExpress Holdings, Inc. Receives Notification From Nasdaq",Positive,1
2011-05-12,"Earnings Scheduled For May 13 (A, SVA, CADC, TRIT, ERF, VALV, GNET, TRBR, SIHI)",Positive,1
2011-05-13,"Top day traders Stocks and nalyst Upgrades & Downgrades on 5/13/11- NVDA, PNSN, VRML, A, YHOO, DF",Neutral,0
2011-05-16,J.P. Morgan Raises PT From $53 To $59 And Reiterates Overweight Rating On Agilent Technologies (A),Negative,-1
2011-05-31,NCI Awarded $58 Million NETCOM G5 IDIQ Contract,Negative,-1
2011-06-02,Is QE3 The Next Stop For The US Fed? (Guest Post),Positive,1
2011-06-06,Life Partners Announces Receipt of Wells Notice,Positive,1
2011-06-07,"Sprint Ticking Higher, Retracing Most of its Earlier Losses",Negative,-1
2011-06-09,Alpha Natural Resources Announces an Amended Notice of Fundamental Change,Positive,1
2011-06-16,Is Social Networking Just a Fad?,Positive,1
2011-06-20,Stocks and Sectors to Watch: S&P 500 Recap 6/20/11,Positive,1
2011-06-21,Hi-Tech Pharmacal Receives Final Approval for Levofloxacin Oral Solution,Negative,-1
2011-06-22,Wednesday's S&P Sector Recap 6/22/11,Positive,1
2011-06-28,Top Percentage Pre-Market Gainers and Losers,Positive,1
2011-07-05,Hottest and Coldest Sectors For the First Half of 2011,Positive,1
2011-07-08,Hottest and Coldest Sectors for Friday 7/8/11,Positive,1
2011-07-11,Deutsche Bank Updates 7/11/11,Positive,1
2011-07-15,UPDATE: J.P. Morgan Raises PT on Agilent Technologies to $63,Negative,-1
2011-07-16,High School Grade Inflation: 1991 to 2003,Positive,1
2011-07-18,"Earnings Preview: Analysts Expect Danaher Revenue, Earnings to Dip from Previous Quarter",Neutral,0
2011-07-21,Thursday's Put/Call Ratio Leaders,Positive,1
2011-07-24,Earnings Preview: Roper Industries Growth Seen Continuing in Wake of Northern Digital Acquisition,Negative,-1
2011-07-27,Wednesday's S&P 500 Sector Recap: Hottest and Coldest Sectors,Positive,1
2011-07-28,Jefferies Has Buy On Agilent Technologies,Positive,1
2011-08-01,RMR Funds' Revised Merger Documents Filed With SEC,Positive,1
2011-08-02,Hearing CRT Capital Upgraded Amedisys,Positive,1
2011-08-07,EUR-GBP Needs to Break 0.8608 Support,Neutral,0
2011-08-10,"Earnings Preview: Agilent Technologies' EPS, Revenue Expected to Rise",Negative,-1
2011-08-12,"Industrials, Oil & Gas, and Consumer Goods Lead Market Rally",Positive,1
2011-08-14,Earnings Expectations for the Week of August 15,Positive,1
2011-08-15,Agilent Says It Will Blow Through Most Optimistic China Projections,Negative,-1
2011-08-16,UPDATE: Stifel Nicolaus Lowers PT on Agilent Technologies to $50,Neutral,0
2011-09-08,"Financials, Industrials, and Basic Materials Slide into the Close",Neutral,0
2011-09-16,A Potluck of Long and Short Setups,Positive,1
2011-09-20,"Costamare Inc. Announces Secondhand Vessel Acquisitions and Disposals, Time Charter Extensions and t",Positive,1
2011-10-06,"Hansen Medical Announces Settlement of SEC Investigation; No Penalties, Injunction or Charges Agains",Positive,1
2011-10-17,"Danaher Earnings Preview: Analysts Expect Higher EPS, Revenue",Negative,-1
2011-10-24,13 Drug Companies Trying to Beat the Odds in Pancreatic Cancer,Positive,1
2011-10-27,Agilent Technologies Signs Agreement to Supply Target Enrichment System to Ambry Genetics for Exome ,Negative,-1
2011-11-11,"Earnings Preview: Agilent Technologies' EPS, Revenue Expected to Rise",Negative,-1
2011-11-13,Earnings Expectations for the Week of November 14,Positive,1
2011-11-14,"Earnings Preview: Agilent Technologies' EPS, Revenue Expected to Rise",Negative,-1
